City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
333,Borba,51,BR,1593859075,97,-4.39,-59.59,72.93,0.16
334,Waynesboro,1,US,1593859084,100,38.07,-78.89,66.99,3.33
335,Imeni Poliny Osipenko,96,RU,1593859085,90,52.42,136.49,63.82,4.83
336,Hofn,75,IS,1593859087,57,64.25,-15.21,48.2,6.93
337,Pangnirtung,51,CA,1593859089,54,66.15,-65.71,50.09,2.75
338,Alihe,77,CN,1593858908,47,50.57,123.72,75.78,1.36
339,Daru,60,PG,1593859093,84,-9.08,143.21,76.46,16.2
340,Fare,15,PF,1593859095,78,-16.7,-151.02,81.12,16.89
341,Damara,40,CF,1593859096,70,4.96,18.7,84.2,4.7
342,Nezhinka,20,RU,1593859099,33,51.77,55.37,87.8,6.71
343,Rio Grande,42,BR,1593859100,76,-32.03,-52.1,46.36,9.93
344,Bow Island,20,CA,1593859102,72,49.87,-111.37,60.8,4.7
345,Temirtau,75,KZ,1593858957,49,50.05,72.95,73.4,20.13
346,Annau,0,TM,1593859105,9,37.89,58.52,93.2,6.93
347,Bereda,54,ES,1593859108,49,43.27,-7.54,82.0,3.0
348,Poum,60,NC,1593859098,75,-20.23,164.02,70.09,6.93
349,Sorong,2,ID,1593859111,79,-0.88,131.25,79.92,6.24
350,Nhulunbuy,40,AU,1593859099,60,-12.23,136.77,75.2,17.22
351,Lalgudi,40,IN,1593859116,37,10.87,78.83,100.4,11.41
352,Flinders,1,AU,1593859118,63,-34.58,150.86,53.01,11.99
353,Hauterive,80,FR,1593859119,52,46.09,3.45,72.0,3.36
354,Palauig,100,PH,1593859124,73,15.44,119.9,83.59,3.91
355,Cascais,0,PT,1593859125,53,38.7,-9.42,79.0,23.04
356,Geraldton,33,AU,1593858974,68,-28.77,114.6,64.4,2.24
357,Sitka,90,US,1593859128,93,57.05,-135.33,53.6,5.82
358,Sandakan,40,MY,1593859130,74,5.84,118.12,84.2,6.93
359,Kondinskoye,6,RU,1593859132,36,59.65,67.41,76.96,9.93
360,Caohai,90,CN,1593859134,83,26.87,104.28,68.92,9.71
361,Kangaba,100,ML,1593859135,68,11.93,-8.42,83.07,10.09
362,Talca,75,CL,1593859137,100,-35.43,-71.67,50.0,2.24
363,Guerrero Negro,0,MX,1593859139,80,27.98,-114.06,66.54,7.14
364,Tilichiki,100,RU,1593859066,97,60.47,166.1,45.09,7.27
365,Torbay,75,CA,1593859142,81,47.67,-52.73,48.99,8.05
366,High Level,90,CA,1593859143,100,58.52,-117.14,55.4,8.05
